Travel ID,Card Type,Weekday,Date,Departure City,Departure,Check-out,Arrival City,Destination,Type,Product
23,Student,6,2021-09-10,Amsterdam,Centraal Station,22:38,Amsterdam,Noord,Metro,Student Week Vrij (2nd class)
18,Student,6,2021-09-10,Den Haag,Den Haag Laan Van NOI,9:34,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
21,Student,6,2021-09-10,Amsterdam,Hilversumstraat,17:22,Amsterdam,Buikslotermeerplein,Bus,Student Week Vrij (2nd class)
22,Student,6,2021-09-10,Amsterdam,Noord,17:35,Amsterdam,Rokin,Metro,Student Week Vrij (2nd class)
24,Student,6,2021-09-10,Amsterdam,Station Noord,22:45,Amsterdam,Hilversumstraat,Bus,Student Week Vrij (2nd class)
19,Student,6,2021-09-10,Utrecht,Utrecht Centraal,13:34,Amsterdam,Amsterdam Muiderpoort,Train,Student Week Vrij (2nd class)
1003,Personal,7,2021-09-11,Amsterdam,Amsterdam Centraal,9:30,Haarlem,Haarlem,Train,Reizen op Rekening Trein
1005,Personal,7,2021-09-11,Den Haag,Beverwijk,18:50,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
1001,Personal,7,2021-09-11,Amsterdam,Hilversumstraat,8:54,Amsterdam,Buikslotermeerplein,Bus,Reizen op Rekening Bus Tram Metro
1002,Personal,7,2021-09-11,Amsterdam,Noord,9:04,Amsterdam,Centraal Station,Metro,Reizen op Rekening Bus Tram Metro
28,Student,4,2021-09-15,Utrecht,Utrecht Centraal,18:11,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
26,Student,4,2021-09-15,Utrecht,Utrecht CS Centrumzijde,9:50,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2nd class)
27,Student,4,2021-09-15,Utrecht,Utrecht Heidelberglaan,16:16,Utrecht,Utrecht Stadsschouwburg,Bus,Student Week Vrij (2nd class)
25,Student,4,2021-09-15,Voorburg,Voorburg,9:33,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
32,Student,1,2021-09-19,Amsterdam,Centraal Station,12:30,Amsterdam,Kurhaus,Bus,Student Week Korting (2nd class)
33,Student,1,2021-09-19,Den Haag,Kurhausweg,16:35,Voorburg,Rozenboomlaan,Bus,Student Week Korting (2nd class)
29,Student,1,2021-09-19,Voorburg,Rozenboomlaan,11:49,Voorburg,Voorburg Station,Bus,Student Week Korting (2nd class)
30,Student,1,2021-09-19,Voorburg,Voorburg Station,12:01,Amsterdam,Centraal Station,Train,Student Week Korting (2nd class)
37,Student,4,2021-09-22,Utrecht,Utrecht Centraal,18:13,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
35,Student,4,2021-09-22,Utrecht,Utrecht CS Centrumzijde,8:50,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2nd class)
36,Student,4,2021-09-22,Utrecht,Utrecht Heidelberglaan,17:18,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2nd class)
34,Student,4,2021-09-22,Voorburg,Voorburg,8:33,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
41,Student,2,2021-09-27,Utrecht,Utrecht Centraal,18:28,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
40,Student,2,2021-09-27,Utrecht,Utrecht Heidelberglaan,17:33,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2nd class)
39,Student,2,2021-09-27,Utrecht,Utrecht Stadsschouwburg,13:40,Utrecht,Utrecht Botanische Tuinen,Bus,Student Week Vrij (2nd class)
38,Student,2,2021-09-27,Voorburg,Voorburg,9:00,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
42,Student,3,2021-09-28,Voorburg,Rozenboomlaan,7:42,Voorburg,Voorburg Station,Bus,Student Week Vrij (2nd class)
44,Student,3,2021-09-28,Utrecht,Utrecht CS Centrumzijde,8:58,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2nd class)
45,Student,3,2021-09-28,Utrecht,Utrecht Heidelberglaan,17:13,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2nd class)
